Time;Usage default  upgradeplanner;Limit default  backend-v1
2020-05-25T10:04:45.000Z;null;null
2020-05-25T10:05:00.000Z;34;300
2020-05-25T10:05:15.000Z;null;null
2020-05-25T10:05:30.000Z;null;null
2020-05-25T10:05:45.000Z;null;null
2020-05-25T10:06:00.000Z;40;500
2020-05-25T10:06:15.000Z;null;null
2020-05-25T10:06:30.000Z;null;null
2020-05-25T10:06:45.000Z;null;null
2020-05-25T10:07:00.000Z;30;200
2020-05-25T10:07:15.000Z;null;null
2020-05-25T10:07:30.000Z;null;null
2020-05-25T10:07:45.000Z;null;null
2020-05-25T10:08:00.000Z;33;300
2020-05-25T10:08:15.000Z;null;null
2020-05-25T10:08:30.000Z;null;null
2020-05-25T10:08:45.000Z;null;null
2020-05-25T10:09:00.000Z;39;100
2020-05-25T10:09:15.000Z;null;null
2020-05-25T10:09:30.000Z;null;null
2020-05-25T10:09:45.000Z;null;null
2020-05-25T10:10:00.000Z;38;100
2020-05-25T10:10:15.000Z;null;null
2020-05-25T10:10:30.000Z;null;null
2020-05-25T10:10:45.000Z;null;null
2020-05-25T10:11:00.000Z;26;0
2020-05-25T10:11:15.000Z;null;null
2020-05-25T10:11:30.000Z;null;null
2020-05-25T10:11:45.000Z;null;null
2020-05-25T10:12:00.000Z;5;0
2020-05-25T10:12:15.000Z;null;null
2020-05-25T10:12:30.000Z;null;null
2020-05-25T10:12:45.000Z;null;null
2020-05-25T10:13:00.000Z;3;0
2020-05-25T10:13:15.000Z;null;null
2020-05-25T10:13:30.000Z;null;null
2020-05-25T10:13:45.000Z;null;null
2020-05-25T10:14:00.000Z;4;0
2020-05-25T10:14:15.000Z;null;null
2020-05-25T10:14:30.000Z;null;null
2020-05-25T10:14:45.000Z;null;null
2020-05-25T10:15:00.000Z;null;null
2020-05-25T10:15:15.000Z;null;null
2020-05-25T10:15:30.000Z;null;null
2020-05-25T10:15:45.000Z;null;null
2020-05-25T10:16:00.000Z;null;1300
2020-05-25T10:16:15.000Z;null;null
2020-05-25T10:16:30.000Z;null;null
2020-05-25T10:16:45.000Z;null;null
2020-05-25T10:17:00.000Z;2;1300
2020-05-25T10:17:15.000Z;null;null
2020-05-25T10:17:30.000Z;null;null
2020-05-25T10:17:45.000Z;null;null
2020-05-25T10:18:00.000Z;2;1300
2020-05-25T10:18:15.000Z;null;null
2020-05-25T10:18:30.000Z;null;null
2020-05-25T10:18:45.000Z;null;null
2020-05-25T10:19:00.000Z;2;1300
2020-05-25T10:19:15.000Z;null;null
2020-05-25T10:19:30.000Z;null;null
2020-05-25T10:19:45.000Z;null;null
2020-05-25T10:20:00.000Z;2;1300
2020-05-25T10:20:15.000Z;null;null
2020-05-25T10:20:30.000Z;null;null
2020-05-25T10:20:45.000Z;null;null
2020-05-25T10:21:00.000Z;2;1300
2020-05-25T10:21:15.000Z;null;null
2020-05-25T10:21:30.000Z;null;null
2020-05-25T10:21:45.000Z;null;null
2020-05-25T10:22:00.000Z;1;1300
2020-05-25T10:22:15.000Z;null;null
2020-05-25T10:22:30.000Z;null;null
2020-05-25T10:22:45.000Z;null;null
2020-05-25T10:23:00.000Z;178;1300
2020-05-25T10:23:15.000Z;null;null
2020-05-25T10:23:30.000Z;null;null
2020-05-25T10:23:45.000Z;null;null
2020-05-25T10:24:00.000Z;4;1300
2020-05-25T10:24:15.000Z;null;null
2020-05-25T10:24:30.000Z;null;null
2020-05-25T10:24:45.000Z;null;null
2020-05-25T10:25:00.000Z;28;1300
2020-05-25T10:25:15.000Z;null;null
2020-05-25T10:25:30.000Z;null;null
2020-05-25T10:25:45.000Z;null;null
2020-05-25T10:26:00.000Z;100;1300
2020-05-25T10:26:15.000Z;null;null
2020-05-25T10:26:30.000Z;null;null
2020-05-25T10:26:45.000Z;null;null
2020-05-25T10:27:00.000Z;53;1200
2020-05-25T10:27:15.000Z;null;null
2020-05-25T10:27:30.000Z;null;null
2020-05-25T10:27:45.000Z;null;null
2020-05-25T10:28:00.000Z;86;2300
2020-05-25T10:28:15.000Z;null;null
2020-05-25T10:28:30.000Z;null;null
2020-05-25T10:28:45.000Z;null;null
2020-05-25T10:29:00.000Z;60;1100
2020-05-25T10:29:15.000Z;null;null
2020-05-25T10:29:30.000Z;null;null
2020-05-25T10:29:45.000Z;null;null
2020-05-25T10:30:00.000Z;36;2100
2020-05-25T10:30:15.000Z;null;null
2020-05-25T10:30:30.000Z;null;null
2020-05-25T10:30:45.000Z;null;null
2020-05-25T10:31:00.000Z;55;1000
2020-05-25T10:31:15.000Z;null;null
2020-05-25T10:31:30.000Z;null;null
2020-05-25T10:31:45.000Z;null;null
2020-05-25T10:32:00.000Z;null;1300
2020-05-25T10:32:15.000Z;null;null
2020-05-25T10:32:30.000Z;null;null
2020-05-25T10:32:45.000Z;null;null
2020-05-25T10:33:00.000Z;3;1300
2020-05-25T10:33:15.000Z;null;null
2020-05-25T10:33:30.000Z;null;null
2020-05-25T10:33:45.000Z;null;null
2020-05-25T10:34:00.000Z;null;1300
2020-05-25T10:34:15.000Z;null;null
2020-05-25T10:34:30.000Z;null;null
2020-05-25T10:34:45.000Z;null;null
2020-05-25T10:35:00.000Z;null;1300
2020-05-25T10:35:15.000Z;null;null
2020-05-25T10:35:30.000Z;null;null
2020-05-25T10:35:45.000Z;null;null
2020-05-25T10:36:00.000Z;3;1300
2020-05-25T10:36:15.000Z;null;null
2020-05-25T10:36:30.000Z;null;null
2020-05-25T10:36:45.000Z;null;null
2020-05-25T10:37:00.000Z;2;1300
2020-05-25T10:37:15.000Z;null;null
2020-05-25T10:37:30.000Z;null;null
2020-05-25T10:37:45.000Z;null;null
2020-05-25T10:38:00.000Z;2;1300
2020-05-25T10:38:15.000Z;null;null
2020-05-25T10:38:30.000Z;null;null
2020-05-25T10:38:45.000Z;null;null
2020-05-25T10:39:00.000Z;2;1300
2020-05-25T10:39:15.000Z;null;null
2020-05-25T10:39:30.000Z;null;null
2020-05-25T10:39:45.000Z;null;null
2020-05-25T10:40:00.000Z;2;1300
2020-05-25T10:40:15.000Z;null;null
2020-05-25T10:40:30.000Z;null;null
2020-05-25T10:40:45.000Z;null;null
2020-05-25T10:41:00.000Z;2;1300
2020-05-25T10:41:15.000Z;null;null
2020-05-25T10:41:30.000Z;null;null
2020-05-25T10:41:45.000Z;null;null
2020-05-25T10:42:00.000Z;1;1300
2020-05-25T10:42:15.000Z;null;null
2020-05-25T10:42:30.000Z;null;null
2020-05-25T10:42:45.000Z;null;null
2020-05-25T10:43:00.000Z;186;1300
2020-05-25T10:43:15.000Z;null;null
2020-05-25T10:43:30.000Z;null;null
2020-05-25T10:43:45.000Z;null;null
2020-05-25T10:44:00.000Z;4;1300
2020-05-25T10:44:15.000Z;null;null
2020-05-25T10:44:30.000Z;null;null
2020-05-25T10:44:45.000Z;null;null
2020-05-25T10:45:00.000Z;78;1300
2020-05-25T10:45:15.000Z;null;null
2020-05-25T10:45:30.000Z;null;null
2020-05-25T10:45:45.000Z;null;null
2020-05-25T10:46:00.000Z;54;2500
2020-05-25T10:46:15.000Z;null;null
2020-05-25T10:46:30.000Z;null;null
2020-05-25T10:46:45.000Z;null;null
2020-05-25T10:47:00.000Z;81;1200
2020-05-25T10:47:15.000Z;null;null
2020-05-25T10:47:30.000Z;null;null
2020-05-25T10:47:45.000Z;null;null
2020-05-25T10:48:00.000Z;51;2300
2020-05-25T10:48:15.000Z;null;null
2020-05-25T10:48:30.000Z;null;null
2020-05-25T10:48:45.000Z;null;null
2020-05-25T10:49:00.000Z;67;1100
2020-05-25T10:49:15.000Z;null;null
2020-05-25T10:49:30.000Z;null;null
2020-05-25T10:49:45.000Z;null;null
2020-05-25T10:50:00.000Z;39;1000
2020-05-25T10:50:15.000Z;null;null
2020-05-25T10:50:30.000Z;null;null
2020-05-25T10:50:45.000Z;null;null
2020-05-25T10:51:00.000Z;55;1900
2020-05-25T10:51:15.000Z;null;null
2020-05-25T10:51:30.000Z;null;null
2020-05-25T10:51:45.000Z;null;null
2020-05-25T10:52:00.000Z;59;900
2020-05-25T10:52:15.000Z;null;null
2020-05-25T10:52:30.000Z;null;null
2020-05-25T10:52:45.000Z;null;null
2020-05-25T10:53:00.000Z;51;1700
2020-05-25T10:53:15.000Z;null;null
2020-05-25T10:53:30.000Z;null;null
2020-05-25T10:53:45.000Z;null;null
2020-05-25T10:54:00.000Z;70;800
2020-05-25T10:54:15.000Z;null;null
2020-05-25T10:54:30.000Z;null;null
2020-05-25T10:54:45.000Z;null;null
2020-05-25T10:55:00.000Z;35;1500
2020-05-25T10:55:15.000Z;null;null
2020-05-25T10:55:30.000Z;null;null
2020-05-25T10:55:45.000Z;null;null
2020-05-25T10:56:00.000Z;49;700
2020-05-25T10:56:15.000Z;null;null
2020-05-25T10:56:30.000Z;null;null
2020-05-25T10:56:45.000Z;null;null
2020-05-25T10:57:00.000Z;35;600
2020-05-25T10:57:15.000Z;null;null
2020-05-25T10:57:30.000Z;null;null
2020-05-25T10:57:45.000Z;null;null
2020-05-25T10:58:00.000Z;44;1100
2020-05-25T10:58:15.000Z;null;null
2020-05-25T10:58:30.000Z;null;null
2020-05-25T10:58:45.000Z;null;null
2020-05-25T10:59:00.000Z;50;500
2020-05-25T10:59:15.000Z;null;null
2020-05-25T10:59:30.000Z;null;null
2020-05-25T10:59:45.000Z;null;null
2020-05-25T11:00:00.000Z;55;900
2020-05-25T11:00:15.000Z;null;null
2020-05-25T11:00:30.000Z;null;null
2020-05-25T11:00:45.000Z;null;null
2020-05-25T11:01:00.000Z;39;400
2020-05-25T11:01:15.000Z;null;null
2020-05-25T11:01:30.000Z;null;null
2020-05-25T11:01:45.000Z;null;null
2020-05-25T11:02:00.000Z;29;700
2020-05-25T11:02:15.000Z;null;null
2020-05-25T11:02:30.000Z;null;null
2020-05-25T11:02:45.000Z;null;null
2020-05-25T11:03:00.000Z;40;300
2020-05-25T11:03:15.000Z;null;null
2020-05-25T11:03:30.000Z;null;null
2020-05-25T11:03:45.000Z;null;null
2020-05-25T11:04:00.000Z;32;500
2020-05-25T11:04:15.000Z;null;null
2020-05-25T11:04:30.000Z;null;null
2020-05-25T11:04:45.000Z;null;null
2020-05-25T11:05:00.000Z;34;200
2020-05-25T11:05:15.000Z;null;null
2020-05-25T11:05:30.000Z;null;null
2020-05-25T11:05:45.000Z;null;null
2020-05-25T11:06:00.000Z;32;300
2020-05-25T11:06:15.000Z;null;null
2020-05-25T11:06:30.000Z;null;null
2020-05-25T11:06:45.000Z;null;null
2020-05-25T11:07:00.000Z;42;100
2020-05-25T11:07:15.000Z;null;null
2020-05-25T11:07:30.000Z;null;null
2020-05-25T11:07:45.000Z;null;null
2020-05-25T11:08:00.000Z;38;0
2020-05-25T11:08:15.000Z;null;null
2020-05-25T11:08:30.000Z;null;null
2020-05-25T11:08:45.000Z;null;null
2020-05-25T11:09:00.000Z;9;0
2020-05-25T11:09:15.000Z;null;null
2020-05-25T11:09:30.000Z;null;null
2020-05-25T11:09:45.000Z;null;null
2020-05-25T11:10:00.000Z;3;0
2020-05-25T11:10:15.000Z;null;null
2020-05-25T11:10:30.000Z;null;null
2020-05-25T11:10:45.000Z;null;null
2020-05-25T11:11:00.000Z;3;0
2020-05-25T11:11:15.000Z;null;null
2020-05-25T11:11:30.000Z;null;null
2020-05-25T11:11:45.000Z;null;null
2020-05-25T11:12:00.000Z;null;0
2020-05-25T11:12:15.000Z;null;null
2020-05-25T11:12:30.000Z;null;null
2020-05-25T11:12:45.000Z;null;null
2020-05-25T11:13:00.000Z;null;1300
2020-05-25T11:13:15.000Z;null;null
2020-05-25T11:13:30.000Z;null;null
2020-05-25T11:13:45.000Z;null;null
2020-05-25T11:14:00.000Z;2;1300
2020-05-25T11:14:15.000Z;null;null
2020-05-25T11:14:30.000Z;null;null
2020-05-25T11:14:45.000Z;null;null
2020-05-25T11:15:00.000Z;2;1300
2020-05-25T11:15:15.000Z;null;null
2020-05-25T11:15:30.000Z;null;null
2020-05-25T11:15:45.000Z;null;null
2020-05-25T11:16:00.000Z;3;1300
2020-05-25T11:16:15.000Z;null;null
2020-05-25T11:16:30.000Z;null;null
2020-05-25T11:16:45.000Z;null;null
2020-05-25T11:17:00.000Z;4;1300
2020-05-25T11:17:15.000Z;null;null
2020-05-25T11:17:30.000Z;null;null
2020-05-25T11:17:45.000Z;null;null
2020-05-25T11:18:00.000Z;2;1300
2020-05-25T11:18:15.000Z;null;null
2020-05-25T11:18:30.000Z;null;null
2020-05-25T11:18:45.000Z;null;null
2020-05-25T11:19:00.000Z;2;1300
2020-05-25T11:19:15.000Z;null;null
2020-05-25T11:19:30.000Z;null;null
2020-05-25T11:19:45.000Z;null;null
2020-05-25T11:20:00.000Z;1;1300
2020-05-25T11:20:15.000Z;null;null
2020-05-25T11:20:30.000Z;null;null
2020-05-25T11:20:45.000Z;null;null
2020-05-25T11:21:00.000Z;204;1300
2020-05-25T11:21:15.000Z;null;null
2020-05-25T11:21:30.000Z;null;null
2020-05-25T11:21:45.000Z;null;null
2020-05-25T11:22:00.000Z;4;1300
2020-05-25T11:22:15.000Z;null;null
2020-05-25T11:22:30.000Z;null;null
2020-05-25T11:22:45.000Z;null;null
2020-05-25T11:23:00.000Z;101;1300
2020-05-25T11:23:15.000Z;null;null
2020-05-25T11:23:30.000Z;null;null
2020-05-25T11:23:45.000Z;null;null
2020-05-25T11:24:00.000Z;54;2500
2020-05-25T11:24:15.000Z;null;null
2020-05-25T11:24:30.000Z;null;null
2020-05-25T11:24:45.000Z;null;null
2020-05-25T11:25:00.000Z;75;1200
2020-05-25T11:25:15.000Z;null;null
2020-05-25T11:25:30.000Z;null;null
2020-05-25T11:25:45.000Z;null;null
2020-05-25T11:26:00.000Z;54;2300
2020-05-25T11:26:15.000Z;null;null
2020-05-25T11:26:30.000Z;null;null
2020-05-25T11:26:45.000Z;null;null
2020-05-25T11:27:00.000Z;58;1100
2020-05-25T11:27:15.000Z;null;null
2020-05-25T11:27:30.000Z;null;null
2020-05-25T11:27:45.000Z;null;null
2020-05-25T11:28:00.000Z;42;2100
2020-05-25T11:28:15.000Z;null;null
2020-05-25T11:28:30.000Z;null;null
2020-05-25T11:28:45.000Z;null;null
2020-05-25T11:29:00.000Z;49;1000
2020-05-25T11:29:15.000Z;null;null
2020-05-25T11:29:30.000Z;null;null
2020-05-25T11:29:45.000Z;null;null
2020-05-25T11:30:00.000Z;53;900
2020-05-25T11:30:15.000Z;null;null
2020-05-25T11:30:30.000Z;null;null
2020-05-25T11:30:45.000Z;null;null
2020-05-25T11:31:00.000Z;35;1700
2020-05-25T11:31:15.000Z;null;null
2020-05-25T11:31:30.000Z;null;null
2020-05-25T11:31:45.000Z;null;null
2020-05-25T11:32:00.000Z;69;800
2020-05-25T11:32:15.000Z;null;null
2020-05-25T11:32:30.000Z;null;null
2020-05-25T11:32:45.000Z;null;null
2020-05-25T11:33:00.000Z;36;1500
2020-05-25T11:33:15.000Z;null;null
2020-05-25T11:33:30.000Z;null;null
2020-05-25T11:33:45.000Z;null;null
2020-05-25T11:34:00.000Z;42;700
2020-05-25T11:34:15.000Z;null;null
2020-05-25T11:34:30.000Z;null;null
2020-05-25T11:34:45.000Z;null;null
2020-05-25T11:35:00.000Z;33;600
2020-05-25T11:35:15.000Z;null;null
2020-05-25T11:35:30.000Z;null;null
2020-05-25T11:35:45.000Z;null;null
2020-05-25T11:36:00.000Z;47;1100
2020-05-25T11:36:15.000Z;null;null
2020-05-25T11:36:30.000Z;null;null
2020-05-25T11:36:45.000Z;null;null
2020-05-25T11:37:00.000Z;35;500
2020-05-25T11:37:15.000Z;null;null
2020-05-25T11:37:30.000Z;null;null
2020-05-25T11:37:45.000Z;null;null
2020-05-25T11:38:00.000Z;67;900
2020-05-25T11:38:15.000Z;null;null
2020-05-25T11:38:30.000Z;null;null
2020-05-25T11:38:45.000Z;null;null
2020-05-25T11:39:00.000Z;45;400
2020-05-25T11:39:15.000Z;null;null
2020-05-25T11:39:30.000Z;null;null
2020-05-25T11:39:45.000Z;null;null
2020-05-25T11:40:00.000Z;31;700
2020-05-25T11:40:15.000Z;null;null
2020-05-25T11:40:30.000Z;null;null
2020-05-25T11:40:45.000Z;null;null
2020-05-25T11:41:00.000Z;41;300
2020-05-25T11:41:15.000Z;null;null
2020-05-25T11:41:30.000Z;null;null
2020-05-25T11:41:45.000Z;null;null
2020-05-25T11:42:00.000Z;33;500
2020-05-25T11:42:15.000Z;null;null
2020-05-25T11:42:30.000Z;null;null
2020-05-25T11:42:45.000Z;null;null
2020-05-25T11:43:00.000Z;34;200
2020-05-25T11:43:15.000Z;null;null
2020-05-25T11:43:30.000Z;null;null
2020-05-25T11:43:45.000Z;null;null
2020-05-25T11:44:00.000Z;30;300
2020-05-25T11:44:15.000Z;null;null
2020-05-25T11:44:30.000Z;null;null
2020-05-25T11:44:45.000Z;null;null
2020-05-25T11:45:00.000Z;37;100
2020-05-25T11:45:15.000Z;null;null
2020-05-25T11:45:30.000Z;null;null
2020-05-25T11:45:45.000Z;null;null
2020-05-25T11:46:00.000Z;35;0
2020-05-25T11:46:15.000Z;null;null
2020-05-25T11:46:30.000Z;null;null
2020-05-25T11:46:45.000Z;null;null
2020-05-25T11:47:00.000Z;5;0
2020-05-25T11:47:15.000Z;null;null
2020-05-25T11:47:30.000Z;null;null
2020-05-25T11:47:45.000Z;null;null
2020-05-25T11:48:00.000Z;3;0
2020-05-25T11:48:15.000Z;null;null
2020-05-25T11:48:30.000Z;null;null
2020-05-25T11:48:45.000Z;null;null
2020-05-25T11:49:00.000Z;2;0
2020-05-25T11:49:15.000Z;null;null
2020-05-25T11:49:30.000Z;null;null
2020-05-25T11:49:45.000Z;null;null
2020-05-25T11:50:00.000Z;null;0
2020-05-25T11:50:15.000Z;null;null
2020-05-25T11:50:30.000Z;null;null
2020-05-25T11:50:45.000Z;null;null
2020-05-25T11:51:00.000Z;null;1300
2020-05-25T11:51:15.000Z;null;null
2020-05-25T11:51:30.000Z;null;null
2020-05-25T11:51:45.000Z;null;null
2020-05-25T11:52:00.000Z;2;1300
2020-05-25T11:52:15.000Z;null;null
2020-05-25T11:52:30.000Z;null;null
2020-05-25T11:52:45.000Z;null;null
2020-05-25T11:53:00.000Z;2;1300
2020-05-25T11:53:15.000Z;null;null
2020-05-25T11:53:30.000Z;null;null
2020-05-25T11:53:45.000Z;null;null
2020-05-25T11:54:00.000Z;3;1300
2020-05-25T11:54:15.000Z;null;null
2020-05-25T11:54:30.000Z;null;null
2020-05-25T11:54:45.000Z;null;null
2020-05-25T11:55:00.000Z;2;1300
2020-05-25T11:55:15.000Z;null;null
2020-05-25T11:55:30.000Z;null;null
2020-05-25T11:55:45.000Z;null;null
2020-05-25T11:56:00.000Z;2;1300
2020-05-25T11:56:15.000Z;null;null
2020-05-25T11:56:30.000Z;null;null
2020-05-25T11:56:45.000Z;null;null
2020-05-25T11:57:00.000Z;1;1300
2020-05-25T11:57:15.000Z;null;null
2020-05-25T11:57:30.000Z;null;null
2020-05-25T11:57:45.000Z;null;null
2020-05-25T11:58:00.000Z;55;1300
2020-05-25T11:58:15.000Z;null;null
2020-05-25T11:58:30.000Z;null;null
2020-05-25T11:58:45.000Z;null;null
2020-05-25T11:59:00.000Z;102;1300
2020-05-25T11:59:15.000Z;null;null
2020-05-25T11:59:30.000Z;null;null
2020-05-25T11:59:45.000Z;null;null
2020-05-25T12:00:00.000Z;5;1300
2020-05-25T12:00:15.000Z;null;null
2020-05-25T12:00:30.000Z;null;null
2020-05-25T12:00:45.000Z;null;null
2020-05-25T12:01:00.000Z;96;1300
2020-05-25T12:01:15.000Z;null;null
2020-05-25T12:01:30.000Z;null;null
2020-05-25T12:01:45.000Z;null;null
2020-05-25T12:02:00.000Z;49;2500
2020-05-25T12:02:15.000Z;null;null
2020-05-25T12:02:30.000Z;null;null
2020-05-25T12:02:45.000Z;null;null
2020-05-25T12:03:00.000Z;82;1200
2020-05-25T12:03:15.000Z;null;null
2020-05-25T12:03:30.000Z;null;null
2020-05-25T12:03:45.000Z;null;null
2020-05-25T12:04:00.000Z;47;2300
